Atlanti's Project Engine Memory Tracker - 0.1A
----------------------------------------------

Logging...


Reporting Leaks...
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e710.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e720.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e730.
[inc/List.h]{Node}(40) 4 bytes leak in adress 0x135e740.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e750.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e760.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e770.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e780.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e790.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e7a0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e7b0.
[inc/List.h]{Node}(40) 4 bytes leak in adress 0x135e7c0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e7d0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e7e0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e7f0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e800.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e810.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x135e820.
[inc/Array.h]{reserve}(186) 76 bytes leak in adress 0x135ec30.
[inc/Array.h]{reserve}(186) 89 bytes leak in adress 0x135ecf0.
[inc/Map.h]{Pair}(39) 20 bytes leak in adress 0x135f46c.
[inc/Variant.h]{clone}(68) 32 bytes leak in adress 0x135f80c.
[inc/Variant.h]{clone}(68) 16 bytes leak in adress 0x135feec.
[inc/Array.h]{reserve}(186) 20 bytes leak in adress 0x135ffa8.
[inc/Map.h]{Pair}(39) 20 bytes leak in adress 0x13600ec.
[inc/Map.h]{Pair}(45) 20 bytes leak in adress 0x13602cc.
[inc/Variant.h]{clone}(68) 16 bytes leak in adress 0x136042c.
[inc/Map.h]{Pair}(39) 20 bytes leak in adress 0x13604ec.
[inc/Array.h]{reserve}(186) 36 bytes leak in adress 0x1360658.
[inc/Map.h]{Pair}(45) 20 bytes leak in adress 0x1360eec.
[inc/Map.h]{Pair}(39) 20 bytes leak in adress 0x136112c.
[inc/Map.h]{Pair}(45) 20 bytes leak in adress 0x136130c.
[inc/Map.h]{Pair}(44) 12 bytes leak in adress 0x13615cc.
[inc/Array.h]{reserve}(186) 9 bytes leak in adress 0x13615e0.
[inc/List.h]{append}(437) 12 bytes leak in adress 0x13615fc.
[inc/Variant.h]{clone}(68) 8 bytes leak in adress 0x1361614.
[inc/Map.h]{Pair}(38) 12 bytes leak in adress 0x1361644.
[inc/Map.h]{Pair}(38) 12 bytes leak in adress 0x13616a4.
[inc/Map.h]{Pair}(38) 12 bytes leak in adress 0x136171c.
[inc/Map.h]{Pair}(38) 12 bytes leak in adress 0x13617ac.
[inc/Map.h]{push}(137) 8 bytes leak in adress 0x136183c.
[inc/Map.h]{push}(137) 8 bytes leak in adress 0x1361854.
[inc/Map.h]{Pair}(38) 12 bytes leak in adress 0x136186c.
[inc/Map.h]{Pair}(44) 12 bytes leak in adress 0x1361884.
[inc/List.h]{append}(437) 12 bytes leak in adress 0x136189c.
[inc/List.h]{append}(437) 12 bytes leak in adress 0x13618b4.
[inc/Map.h]{Pair}(38) 12 bytes leak in adress 0x13618cc.
[inc/Map.h]{Pair}(44) 12 bytes leak in adress 0x13618e4.
[inc/Array.h]{reserve}(186) 12 bytes leak in adress 0x13618f8.
[inc/List.h]{append}(437) 12 bytes leak in adress 0x1361914.
[inc/Map.h]{push}(137) 8 bytes leak in adress 0x136192c.
[inc/Map.h]{Pair}(38) 12 bytes leak in adress 0x1361944.
[inc/Map.h]{Pair}(44) 12 bytes leak in adress 0x136195c.
[inc/Array.h]{reserve}(186) 11 bytes leak in adress 0x1361970.
[inc/List.h]{append}(437) 12 bytes leak in adress 0x136198c.
[inc/Map.h]{Pair}(39) 20 bytes leak in adress 0x13622cc.
[inc/Map.h]{Pair}(39) 20 bytes leak in adress 0x136240c.
[inc/Map.h]{Pair}(39) 20 bytes leak in adress 0x136294c.
[inc/Map.h]{Pair}(45) 20 bytes leak in adress 0x1362b4c.
[inc/Map.h]{Pair}(39) 20 bytes leak in adress 0x1362e0c.
[inc/Map.h]{Pair}(39) 20 bytes leak in adress 0x136408c.
[inc/Variant.h]{clone}(68) 32 bytes leak in adress 0x13648ec.
[inc/Array.h]{reserve}(186) 36 bytes leak in adress 0x1364be8.
[inc/Array.h]{reserve}(186) 5 bytes leak in adress 0x1364d28.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364d38.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364d48.
[inc/List.h]{Node}(40) 4 bytes leak in adress 0x1364d58.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364d68.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364d78.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364d88.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364d98.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364da8.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364db8.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364dc8.
[inc/List.h]{Node}(40) 4 bytes leak in adress 0x1364dd8.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364de8.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364df8.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364e08.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364e18.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364e28.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364e38.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364e48.
[inc/List.h]{Node}(40) 4 bytes leak in adress 0x1364e58.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364e68.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364e78.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364e88.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364e98.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364ea8.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364eb8.
[inc/List.h]{Node}(40) 4 bytes leak in adress 0x1364ec8.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364ed8.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364ee8.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364ef8.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364f08.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364f18.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364f28.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364f38.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364f48.
[inc/Array.h]{reserve}(186) 4 bytes leak in adress 0x1364f58.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364f68.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x1364f78.
